"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"26","Boston College",14,17,0.452,6.46,7.75,2203,2243,0.982166740971913,NA,0.544
"27","Boston University",14,17,0.452,-6.69,-4.91,1954,2009,0.972623195619711,NA,0.505
"28","Bowling Green State",13,17,0.433,-5.09,-0.63,1904,2038,0.934249263984298,NA,0.515
"29","Bradley",21,17,0.553,6.23,4.25,2805,2724,1.02973568281938,NA,0.561
"30","Brigham Young",27,8,0.771,11.82,1.33,2580,2213,1.16583822864889,NA,0.556
"31","Brown",19,10,0.655,-0.65,-4.65,1997,1881,1.06166932482722,NA,0.6
"32","Bucknell",12,19,0.387,-6.88,-3.88,1925,2023,0.951557093425606,NA,0.525
"33","Buffalo",10,20,0.333,-3.9,0.61,2146,2251,0.953354064860062,NA,0.492
"34","Butler",30,4,0.882,13,2.64,2339,1985,1.17833753148615,NA,0.576
"35","Cal Poly",12,18,0.4,-9.48,-2.08,1896,2071,0.915499758570739,NA,0.49
"36","Cal State Fullerton",24,9,0.727,5.64,-3.06,2700,2398,1.12593828190158,NA,0.568
"37","Cal State Northridge",20,10,0.667,1.23,-2.81,2340,2132,1.09756097560976,NA,0.551
"38","UC-Davis",9,22,0.29,-15.02,-2.68,1962,2215,0.885778781038375,NA,0.559
"39","UC-Irvine",18,16,0.529,-1.2,-2.41,2311,2237,1.03308001788109,NA,0.557
"40","UC-Riverside",9,21,0.3,-10.73,-2.02,1803,2029,0.888615081320848,NA,0.506
"41","UC-Santa Barbara",23,9,0.719,1.17,-3.16,2232,2063,1.08191953465826,NA,0.561
"42","University of California",17,16,0.515,9.36,8.45,2521,2478,1.01735270379338,NA,0.566
"43","Campbell",10,20,0.333,-11.91,-6.62,2144,2237,0.958426464014305,NA,0.526
"44","Canisius",6,25,0.194,-14.3,-3.14,1923,2269,0.847509916262671,NA,0.491
"45","Centenary (LA)",10,21,0.323,-10.86,-1.71,2164,2395,0.903549060542797,NA,0.536
"46","Central Connecticut State",14,16,0.467,-5.31,-6.68,2095,2054,1.01996105160662,NA,0.545
"47","Central Florida",16,15,0.516,5.61,3.16,2269,2139,1.06077606358111,NA,0.552
"48","Central Michigan",14,17,0.452,-3.22,0.19,2208,2244,0.983957219251337,NA,0.532
"49","Charleston Southern",10,20,0.333,-15.23,-4.63,2225,2307,0.964456003467707,NA,0.528
"50","Charlotte",20,14,0.588,6.54,4.34,2366,2291,1.03273679615888,NA,0.51
"51","Chattanooga",18,13,0.581,-1.22,-1.12,2344,2260,1.03716814159292,NA,0.556
"52","Chicago State",11,17,0.393,-10.63,1.47,2050,2221,0.923007654209815,NA,0.536
"53","Cincinnati",13,19,0.406,4.86,8.51,2067,2168,0.953413284132841,NA,0.501
"54","Citadel",6,24,0.2,-16.99,-1.14,1903,2228,0.854129263913824,NA,0.516
"55","Clemson",24,10,0.706,18.05,9.08,2693,2372,1.13532883642496,NA,0.536
"56","Cleveland State",21,13,0.618,3.38,1.69,2281,2161,1.05552984729292,NA,0.52
"57","Coastal Carolina",13,15,0.464,-11.52,-5.44,1936,2004,0.966067864271457,NA,0.538
"58","Colgate",18,14,0.563,-5.63,-5.06,2095,2076,1.00915221579961,NA,0.535
"59","College of Charleston",16,17,0.485,-2.22,-2.31,2391,2388,1.00125628140704,NA,0.55
"60","Colorado State",7,25,0.219,-7.09,2.8,2051,2318,0.88481449525453,NA,0.524
"61","Colorado",12,20,0.375,4.05,6.76,1997,2061,0.968947113051916,NA,0.541
"62","Columbia",14,15,0.483,-8.45,-5.79,1846,1859,0.993006993006993,NA,0.528
"63","Connecticut",24,9,0.727,15.54,6.76,2556,2266,1.12797881729921,NA,0.553
"64","Coppin State",16,21,0.432,-14.51,-6.2,2212,2443,0.905444126074499,NA,0.485
"65","Cornell",22,6,0.786,0.76,-4.74,2136,1917,1.11424100156495,NA,0.591
"66","Creighton",22,11,0.667,8.06,4.45,2360,2177,1.08406063389986,NA,0.553
"67","Dartmouth",10,18,0.357,-14.56,-7.19,1769,1933,0.915157785825142,NA,0.492
"68","Davidson",29,7,0.806,13.93,1.66,2803,2274,1.23262972735268,NA,0.567
"69","Dayton",23,11,0.676,7.98,4.06,2317,2184,1.06089743589744,NA,0.552
"70","Delaware State",14,16,0.467,-11.51,-6.88,1769,1853,0.95466810577442,NA,0.518
"71","Delaware",14,17,0.452,-5.82,-2.43,1956,2061,0.949053857350801,NA,0.503
"72","Denver",11,19,0.367,-6.14,-2.22,1698,1811,0.937603533959139,NA,0.581
"73","DePaul",11,19,0.367,4.31,8.73,2177,2273,0.957765068191817,NA,0.52
"74","Detroit Mercy",7,23,0.233,-6.38,1,1765,1962,0.899592252803262,NA,0.512
"75","Drake",28,5,0.848,14.08,4.15,2440,2050,1.19024390243902,NA,0.57
"76","Drexel",12,20,0.375,-7.63,-1.85,1904,2064,0.922480620155039,NA,0.487
"77","Duke",28,6,0.824,21.52,9.28,2830,2361,1.1986446421008,NA,0.569
"78","Duquesne",17,13,0.567,8.96,1.85,2470,2223,1.11111111111111,NA,0.558
"79","East Carolina",11,19,0.367,-4.28,2.84,2049,2182,0.939046746104491,NA,0.526
"80","East Tennessee State",19,13,0.594,-4.24,-1.89,2514,2470,1.01781376518219,NA,0.55
"81","Eastern Illinois",7,22,0.241,-14.72,-7.97,1833,2000,0.9165,NA,0.529
"82","Eastern Kentucky",14,16,0.467,-9.7,-6.34,1890,1933,0.977754785307812,NA,0.55
"83","Eastern Michigan",14,17,0.452,-3.18,-1.82,2054,2096,0.979961832061069,NA,0.545
"84","Eastern Washington",11,19,0.367,-7.38,-2.06,1897,2012,0.942842942345924,NA,0.513
